!!!SBtab Document='for_MDF' SBtabVersion='1.0' Date='2021-2-9'
!!SBtab TableID='Configuration' TableType='Config' TableName='Config_unnamed' Date='2021-2-9'
!Option	!Value	!Comment
algorithm	MDF	ECM, or MDF
p_h	7.5	
ionic_strength	100 mM	
p_mg	3	
stdev_factor	1.96	

!!SBtabTableID='Reaction'TableType='Reaction' TableName='Reaction_unnamed' Date='2021-2-9'
!ID	!ReactionFormula
cs	accoa_c + h2o_c + oaa_c <=> cit_c + coa_c + h_c
acald	acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c
aspta	akg_c + asp__L_c <=> glu__L_c + oaa_c
eno	2pg_c <=> h2o_c + pep_c
mgsa	dhap_c <=> mthgxl_c + pi_c
pps	atp_c + h2o_c + pyr_c <=> amp_c + 2.0 h_c + pep_c + pi_c
pgk	3pg_c + atp_c <=> 13dpg_c + adp_c
mdh	mal__L_c + nad_c <=> h_c + nadh_c + oaa_c
fum	fum_c + h2o_c <=> mal__L_c
serd_l	ser__L_c <=> nh4_c + pyr_c
icl	icit_c <=> glx_c + succ_c
ppc	co2_c + h2o_c + pep_c <=> h_c + oaa_c + pi_c
ghmt2r	ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c
adk1	amp_c + atp_c <=> 2.0 adp_c
hsk	atp_c + hom__L_c <=> adp_c + h_c + phom_c
thrs	h2o_c + phom_c <=> pi_c + thr__L_c
mals	accoa_c + glx_c + h2o_c <=> coa_c + h_c + mal__L_c
aspk	asp__L_c + atp_c <=> 4pasp_c + adp_c
asad	aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c
mcitl2	micit_c <=> pyr_c + succ_c
gapd	g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c
mcits	h2o_c + oaa_c + ppcoa_c <=> 2mcit_c + coa_c + h_c
fthfli	atp_c + for_c + thf_c <=> 10fthf_c + adp_c + pi_c
lcadi	h2o_c + lald__L_c + nad_c <=> 2.0 h_c + lac__L_c + nadh_c
hsdy	hom__L_c + nadp_c <=> aspsa_c + h_c + nadph_c
mthfc	h2o_c + methf_c <=> 10fthf_c + h_c
mthfd	mlthf_c + nadp_c <=> methf_c + nadph_c
faldh2	hmgth_c + nad_c <=> Sfglutth_c + h_c + nadh_c
falgthls	fald_c + gthrd_c <=> hmgth_c
gludy	glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c
thrd_l	thr__L_c <=> 2obut_c + nh4_c
mcitd	2mcit_c <=> 2mcacn_c + h2o_c
laldo3	h_c + mthgxl_c + nadph_c <=> lald__L_c + nadp_c
pgm	2pg_c <=> 3pg_c
tpi	dhap_c <=> g3p_c
sfgthi	Sfglutth_c + h2o_c <=> for_c + gthrd_c + h_c
acontb	acon_C_c + h2o_c <=> icit_c
sucdi	q8_c + succ_c <=> fum_c + q8h2_c
micitdr	2mcacn_c + h2o_c <=> micit_c
aconta	cit_c <=> acon_C_c + h2o_c
obtfl	2obut_c + coa_c <=> for_c + ppcoa_c
thra	thr__L_c <=> acald_c + gly_c
r01143	ch4_c + h_c + nadph_c + o2_c <=> h2o_c + meoh_c + nadp_c
alcd1	meoh_c + nad_c <=> fald_c + h_c + nadh_c

!!SBtabTableID='Compound'TableType='Compound' TableName='Compound_unnamed' Date='2021-2-9'
!ID	!Identifiers
accoa_c	kegg:C00024
h2o_c	kegg:C00001
oaa_c	kegg:C00036
cit_c	kegg:C00158
coa_c	kegg:C00010
h_c	kegg:C00080
acald_c	kegg:C00084
nad_c	kegg:C00003
nadh_c	kegg:C00004
akg_c	kegg:C00026
asp__L_c	kegg:C00049
glu__L_c	kegg:C00025
2pg_c	kegg:C00631
pep_c	kegg:C00074
dhap_c	kegg:C00111
mthgxl_c	kegg:C00546
pi_c	kegg:C00009
atp_c	kegg:C00002
pyr_c	kegg:C00022
amp_c	kegg:C00020
3pg_c	kegg:C00197
13dpg_c	kegg:C00236
adp_c	kegg:C00008
mal__L_c	kegg:C00149
fum_c	kegg:C00122
ser__L_c	kegg:C00716
nh4_c	kegg:C00014
icit_c	kegg:C00311
glx_c	kegg:C00048
succ_c	kegg:C00042
co2_c	kegg:C00011
thf_c	kegg:C00101
gly_c	kegg:C00037
mlthf_c	kegg:C00143
hom__L_c	kegg:C00263
phom_c	kegg:C01102
thr__L_c	kegg:C00188
4pasp_c	kegg:C03082
aspsa_c	kegg:C00441
nadp_c	kegg:C00006
nadph_c	kegg:C00005
micit_c	kegg:C04593
g3p_c	kegg:C00661
ppcoa_c	kegg:C00100
2mcit_c	kegg:C02225
for_c	kegg:C00058
10fthf_c	kegg:C00234
lald__L_c	kegg:C05999
lac__L_c	kegg:C00186
methf_c	kegg:C00445
hmgth_c	kegg:C14180
Sfglutth_c	kegg:C01031
fald_c	kegg:C00067
gthrd_c	kegg:C00051
2obut_c	kegg:C00109
2mcacn_c	kegg:C04225
acon_C_c	kegg:C00417
q8_c	kegg:C17569
ch4_c	kegg:C01438
o2_c	kegg:C00007
meoh_c	kegg:C00132

!!SBtabTableID='Flux'TableType='Quantity':Unit='mM/s' TableName='Quantity_unnamed' Date='2021-2-9'
!QuantityType	!Reaction	!Value
rate of reaction	cs	1.9999999999999913
rate of reaction	acald	0.0
rate of reaction	aspta	-7.999999999999962
rate of reaction	eno	-2.0
rate of reaction	mgsa	2.0
rate of reaction	pps	7.999999999999962
rate of reaction	pgk	2.0
rate of reaction	mdh	0.0
rate of reaction	fum	5.999999999999971
rate of reaction	serd_l	3.9999999999999827
rate of reaction	icl	1.9999999999999913
rate of reaction	ppc	5.999999999999962
rate of reaction	ghmt2r	-3.9999999999999827
rate of reaction	adk1	7.999999999999962
rate of reaction	hsk	7.999999999999962
rate of reaction	thrs	7.999999999999962
rate of reaction	mals	1.9999999999999913
rate of reaction	aspk	7.999999999999962
rate of reaction	asad	-7.999999999999962
rate of reaction	mcitl2	3.999999999999979
rate of reaction	gapd	-2.0
rate of reaction	mcits	3.999999999999979
rate of reaction	fthfli	3.9999999999999827
rate of reaction	lcadi	2.0
rate of reaction	hsdy	-7.999999999999962
rate of reaction	mthfc	-3.9999999999999827
rate of reaction	mthfd	-3.9999999999999827
rate of reaction	faldh2	0.0
rate of reaction	falgthls	0.0
rate of reaction	gludy	0.0
rate of reaction	thrd_l	3.999999999999979
rate of reaction	mcitd	3.999999999999979
rate of reaction	laldo3	2.0
rate of reaction	pgm	2.0
rate of reaction	tpi	-2.0
rate of reaction	sfgthi	0.0
rate of reaction	acontb	1.9999999999999913
rate of reaction	sucdi	5.999999999999971
rate of reaction	micitdr	3.999999999999979
rate of reaction	aconta	1.9999999999999913
rate of reaction	obtfl	3.999999999999979
rate of reaction	thra	0.0
rate of reaction	r01143	0.0
rate of reaction	alcd1	0.0

!!SBtabTableID='ConcentrationConstraint'TableType='Quantity':Unit='mM' TableName='Quantity_unnamed' Date='2021-2-9'
!QuantityType	!Compound	!Min	!Max
concentration	accoa_c	0.001	10
concentration	h2o_c	0.001	10
concentration	oaa_c	0.001	10
concentration	cit_c	0.001	10
concentration	coa_c	0.1	5
concentration	h_c	0.001	10
concentration	acald_c	0.001	10
concentration	nad_c	0.001	10
concentration	nadh_c	0.001	10
concentration	akg_c	0.001	10
concentration	asp__L_c	0.001	10
concentration	glu__L_c	0.001	10
concentration	2pg_c	0.001	10
concentration	pep_c	0.001	10
concentration	dhap_c	0.001	10
concentration	mthgxl_c	0.001	10
concentration	pi_c	10	10
concentration	atp_c	5	5
concentration	pyr_c	0.001	10
concentration	amp_c	0.5	0.5
concentration	3pg_c	0.001	10
concentration	13dpg_c	0.001	10
concentration	adp_c	0.5	0.5
concentration	mal__L_c	0.001	10
concentration	fum_c	0.001	10
concentration	ser__L_c	0.001	10
concentration	nh4_c	0.001	10
concentration	icit_c	0.001	10
concentration	glx_c	0.001	10
concentration	succ_c	0.001	10
concentration	co2_c	0.001	10
concentration	thf_c	0.001	10
concentration	gly_c	0.001	10
concentration	mlthf_c	0.001	10
concentration	hom__L_c	0.001	10
concentration	phom_c	0.001	10
concentration	thr__L_c	0.001	10
concentration	4pasp_c	0.001	10
concentration	aspsa_c	0.001	10
concentration	nadp_c	0.001	10
concentration	nadph_c	0.001	10
concentration	micit_c	0.001	10
concentration	g3p_c	0.001	10
concentration	ppcoa_c	0.001	10
concentration	2mcit_c	0.001	10
concentration	for_c	0.001	10
concentration	10fthf_c	0.001	10
concentration	lald__L_c	0.001	10
concentration	lac__L_c	0.001	10
concentration	methf_c	0.001	10
concentration	hmgth_c	0.001	10
concentration	Sfglutth_c	0.001	10
concentration	fald_c	0.001	10
concentration	gthrd_c	0.001	10
concentration	2obut_c	0.001	10
concentration	2mcacn_c	0.001	10
concentration	acon_C_c	0.001	10
concentration	q8_c	0.001	10
concentration	q8h2_c	0.001	10
concentration	ch4_c	1.247	8.105
concentration	o2_c	0.001	10
concentration	meoh_c	0.001	10

