metabolite_BiGG_ID,carbon_source,consumption,production,preferred_c_source,max_average_uptake,Reaction_ID,Reaction_name,(Reaction_subsystem),Reaction_equation,Reaction_lb,Reaction_ub,Reaction_gene_ (ID_ and/or),Metabolites,stoichiometry,metabolite_name,Metabolite_ID,Metabolite_compartment,kegg_id,ec_number,universal_reaction_DB,iterations,criteria,weight,normed_weight,aerobic,balanced_equation,coefficient_c_source,coefficient_product,c_source_concentration_range,summed_weights,number_of_criteria,sum_normed_weights,path_to_fna_file_expression_host,Optknock,reference_model_ID,expression_host
cellb,yes,yes,no,glc__D,-10,,,,,,,,,,,,,,,bacteria,12,consumption_cellb,30,0.476190476,yes,L-Arabinose(aq) + 2 NAD+(aq) ? 2-Ketoglutaric acid(aq) + 2 NADH(aq),-1,1,0.01 10,63,6,1,GCF_000007565.2_ASM756v2_cds_from_genomic.fna,no,iJN1463.xml,Pseudomonas putida KT2440
xyl__D,no,-10,no,,,EX_cellb_e,Cellobiose exchange,,cellb_e -->,-1000,1000,,,,,,,,,,,consumption_xyl__D,2,0.031746032,,,,,,,,,,,,
,,,,,,EX_dxylnt_e,D-Xylonate exchange,,dxylnt_e -->,0,1000,,,,,,,,,,,production_dxylnt,10,0.158730159,,,,,,,,,,,,
dxylnt,no,no,yes,,,BGLApp,Beta glucosidase  periplasmic,,cellb_p + h2o_p --> 2.0 glc__D_p,0,1000,,,,,,,,,,,interventions,10,0.158730159,,,,,,,,,,,,
,,,,,,CELLBabc,Cellobiose transport via ATP transporter,,atp_c + h2o_c + cellb_e --> adp_c + h_c + pi_c + cellb_c,0,1000,,,,,,,,,,,mdf,5,0.079365079,,,,,,,,,,,,
,,,,,,BGLA,Cytoplasmic beta-glucosidase cellobiose,,h2o_c + cellb_c --> 2.0 glc__D_c,0,1000,,,,,,,,,,,path_length,6,0.095238095,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,XYLt2,D-xylose transport in via proton symport,,h_e + xyl__D_e --> h_c + xyl__D_c,-1000,1000,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,DXYept,D-xylonate reversible tranposrt (ex-c),,dxylnt_e -->  dxylnt_c,-1000,0,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,XYLDH,Xylose dehydro,,xyl__D_c + nad_c --> dxylnt_c + nadh_c + h_c,-1000,1000,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,XYLOR,D-xylose:NADP+ 1-oxidoreductase,,nadp_c + xyl__D_c --> h_c + nadph_c + xylnact__D_c,-1000,1000,,,,,,,,1.1.1.175,,,,,,,,,,,,,,,,,
,,,,,,XYL15L,"xylono-1,5 lactonease",,xylnact__D_c + h2o_c --> h_c + dxylnt_c,-1000,1000,,,,,,,,3.1.1.110,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
