metabolite_BiGG_ID,carbon_source,consumption,production,preferred_c_source,max_average_uptake,Reaction_ID,Reaction_name,(Reaction_subsystem),Reaction_equation,Reaction_lb,Reaction_ub,Reaction_gene_ (ID_ and/or),Metabolites,stoichiometry,metabolite_name,Metabolite_ID,Metabolite_compartment,kegg_id,ec_number,universal_reaction_DB,iterations,criteria,weight,normed_weight,aerobic,balanced_equation,coefficient_c_source,coefficient_product,c_source_concentration_range,summed_weights,number_of_criteria,sum_normed_weights,path_to_fna_file_expression_host,Optknock,reference_model_ID,expression_host
ac,yes,-10,no,glc__D,-10,,,,,,,,,,,,,,,bacteria,4,consumption_ch4,30,0.476190476,yes,L-Arabinose(aq) + 2 NAD+(aq) ? 2-Ketoglutaric acid(aq) + 2 NADH(aq),-1,1,0.01 10,63,6,1,GCF_000007565.2_ASM756v2_cds_from_genomic.fna,no,iJN1463.xml,Pseudomonas putida KT2440
,,,,,,EX_ac_e,Exchange acetate,,ac_e -->,-1000,1000,,,,,,,,,,,consumption_nh4,2,0.031746032,,,,,,,,,,,,
arg__L,no,no,yes,,,,,,,,,,,,,,,,,,,production_lac__L,10,0.158730159,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,interventions,10,0.158730159,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,mdf,5,0.079365079,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,path_length,6,0.095238095,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
