metabolite_BiGG_ID,carbon_source,consumption,production,preferred_c_source,max_average_uptake,Reaction_ID,Reaction_name,(Reaction_subsystem),Reaction_equation,Reaction_lb,Reaction_ub,Reaction_gene_ (ID_ and/or),Metabolites,stoichiometry,metabolite_name,Metabolite_ID,Metabolite_compartment,kegg_id,ec_number,universal_reaction_DB,iterations,criteria,weight,normed_weight,aerobic,balanced_equation,coefficient_c_source,coefficient_product,c_source_concentration_range,summed_weights,number_of_criteria,sum_normed_weights,path_to_fna_file_expression_host,Optknock,reference_model_ID,expression_host
xyl__D,yes,-17,no,glc__D,-10,,,,,,,,,,,,,,,bacteria,3,consumption_xyl__D,30,0.491803279,yes,L-Arabinose(aq) + 2 NAD+(aq) --> 2-Ketoglutaric acid(aq) + 2 NADH(aq),-1,1,0.01 10,61,6,1,GCF_000007565.2_ASM756v2_cds_from_genomic.fna,yes,iJN1463.xml,Pseudomonas putida KT2440
,,,,,,EX_Xyl__D_e,Exchange L-arabinose,,xyl__D_e -->,-1000,1000,,,,,,,,,,,,,0,,,,,,,,,,,,
akg,no,no,yes,,,ARBt2r,L-arabinose transport via proton symport,,arab__L_e + h_e --> arab__L_c + h_c,0,1000,,arab__L_e h_e arab__L_c h_c,-1 -1 1 1,L-Arabinose H+ L-Arabinose H+,ch4_e carab__L_e h_e arab__L_c h_ch4_c,e e c c,,,,,production_akg,10,0.163934426,,,,,,,,,,,,
,,,,,,ARAI,L-arabinose isomerase,,arab__L_c --> rbl__L_c,-1000,1000,,,,,,,,,,,interventions,10,0.163934426,,,,,,,,,,,,
,,,,,,RBK_L1,L-ribulikinase,,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c,-1000,1000,,,,,,,,,,,mdf,5,0.081967213,,,,,,,,,,,,
,,,,,,RBP4E,L-ribulose-phosphate 4-epimerase,,ru5p__L_c --> xu5p__D_c,-1000,1000,,,,,,,,,,,path_length,6,0.098360656,,,,,,,,,,,,
,,,,,,ARABD,L-ARABINOSE-1-DEHYDROGENASE-RXN,L-ara oxidative pathway,h_c + nadh_c + Lara14lac_c --> arab__L_c + nad_c,-1000,0,,,,,,,,1.1.1.376,,,,,,,,,,,,,,,,,
,,,,,,LARLC,L-arabinolactonase,L-ara oxidative pathway,Lara14lac_c + h2o_c --> Larbn_c + h_c,0,1000,,,,,,,,3.1.1.15,,,,,0,,,,,,,,,,,,
,,,,,,LARNDH,L-arabinoate dehydratase,L-ara oxidative pathway,Larbn_c --> 2dlara_c +h2o_c,0,1000,,,,,,,,4.2.1.25,,,,,0,,,,,,,,,,,,
,,,,,,L2K3dARNDH,L2keto3-deoxyarabinoate dehydratase,L-ara oxidative pathway,2dlara_c --> 25dop_c + h2o_c,0,1000,,,,,,,,4.2.1.43,,,,,0,,,,,,,,,,,,
,,,,,,DOPDH,Ketoglutarate semialdehyde dehydrogenase,L-ara oxidative pathway,h2o_c + nadp_c + 25dop_c --> akg_c + 2.0 h_c + nadph_c,0,1000,,,,,,,,1.2.1.26,,,,,,,,,,,,,,,,,
,,,,,,XYLI1,xylose isomerase,xyl_degradationI,xyl__D_c --> xylu__D_c,-1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,XYLK,Xylulokinase,xyl_degradationI,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c,-1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,XYLt2,D-xylose transport in via proton symport,,h_e + xyl__D_e --> h_c + xyl__D_c,-1000,1000,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,TALA,transaldolase,,g3p_c + s7p_c ? e4p_c + f6p_c,-1000,1000,,,,,,,,,,,,,0,,,,,,,,,,,,
